filename,model,prompt,latency_s,ocr_chars,qr_used,error,exp_type,got_type,src_type,ok_type,exp_client,got_client,src_client,ok_client,exp_date,got_date,src_date,ok_date,exp_montant,got_montant,src_montant,ok_montant,raisonnement
01_swisscom_facture_qrbill.pdf,qwen2.5:14b-instruct-q4_K_M,classify_v2_fewshot.txt,13.07,597,True,,facture_fournisseur,facture_fournisseur,llm,True,Restaurant Le Rivage SA,Restaurant Le Rivage SA,llm,True,2026-04-15,2026-04-15,llm,True,145.5,145.5,qr,True,"Facture mensuelle Swisscom adressée à Restaurant Le Rivage SA, total 145.5 CHF."
02_migros_facture_simple.pdf,qwen2.5:14b-instruct-q4_K_M,classify_v2_fewshot.txt,13.64,458,False,,facture_fournisseur,facture_fournisseur,llm,True,Cabinet Médical Dr. Martin Sàrl,Cabinet Médical Dr. Martin Sàrl,llm,True,2026-04-22,2026-04-22,llm,True,373.98,373.98,llm,True,"Facture Migros adressée au Cabinet Médical Dr. Martin Sàrl, total 373.98 CHF."
03_swisspost_rechnung_qrbill_de.pdf,qwen2.5:14b-instruct-q4_K_M,classify_v2_fewshot.txt,13.38,572,True,,facture_fournisseur,facture_fournisseur,llm,True,Bauunternehmung Zumstein AG,Bauunternehmung Zumstein AG,llm,True,2026-04-18,2026-04-18,llm,True,231.0,231.0,qr,True,"Facture de la Poste Suisse pour Bauunternehmung Zumstein AG, total 231 CHF."
04_note_frais_restaurant.pdf,qwen2.5:14b-instruct-q4_K_M,classify_v2_fewshot.txt,13.14,430,False,,note_frais,note_frais,llm,True,Études Cabinet Tanguy Lachat,Études Cabinet Tanguy Lachat,llm,True,2026-04-12,2026-04-12,llm,True,133.5,133.5,llm,True,"Note de frais pour un repas d'affaires à Restaurant L'Auberge des Trois Vallées, facturé à Études Cabinet Tanguy Lachat."
05_releve_bancaire_ubs.pdf,qwen2.5:14b-instruct-q4_K_M,classify_v2_fewshot.txt,12.74,602,False,,releve_bancaire,releve_bancaire,llm,True,SARL Étude Comptable Genevoise,SARL Étude Comptable Genevoise,llm,True,2026-04-30,,llm,False,8956.82,,llm,False,"Relevé de compte UBS pour SARL Étude Comptable Genevoise, période avril 2026."
06_facture_freelance_qrbill.pdf,qwen2.5:14b-instruct-q4_K_M,classify_v2_fewshot.txt,13.48,538,True,,facture_fournisseur,facture_fournisseur,llm,True,Cabinet Médical Dr. Martin Sàrl,Cabinet Médical Dr. Martin Sàrl,llm,True,2026-04-25,2026-04-25,llm,True,2680.0,2680.0,qr,True,"Facture de refonte d'identité visuelle et cartes de visite pour Cabinet Médical Dr. Martin Sàrl, total 2680 CHF."
07_avis_taxation_canton.pdf,qwen2.5:14b-instruct-q4_K_M,classify_v2_fewshot.txt,14.14,611,False,,document_fiscal,document_fiscal,llm,True,SARL Étude Comptable Genevoise,SARL Étude Comptable Genevoise,llm,True,2026-04-10,2026-04-10,llm,True,18900.0,18900.0,llm,True,Avis de taxation définitif émis par l'administration fiscale cantonale pour la période fiscale 2025. Montant total dû = 18900 CHF.
08_sunrise_facture_qrbill.pdf,qwen2.5:14b-instruct-q4_K_M,classify_v2_fewshot.txt,12.85,454,True,,facture_fournisseur,facture_fournisseur,llm,True,Étude Notariale Roulet & Associés,Étude Notariale Roulet & Associés,llm,True,2026-04-15,2026-04-30,llm,False,263.9,263.9,qr,True,"Facture Sunrise UPC adressée à Étude Notariale Roulet & Associés, total 263.9 CHF."
09_romande_energie_facture.pdf,qwen2.5:14b-instruct-q4_K_M,classify_v2_fewshot.txt,12.63,513,False,,facture_fournisseur,facture_fournisseur,llm,True,Architecte Pierre Müller SA,Architecte Pierre Müller SA,llm,True,2026-04-15,2026-04-15,llm,True,650.77,650.77,llm,True,"Facture d'électricité Romande Energie pour Architecte Pierre Müller SA, total 650.77 CHF."
10_helsana_facture_assurance.pdf,qwen2.5:14b-instruct-q4_K_M,classify_v2_fewshot.txt,12.28,428,False,,facture_fournisseur,facture_fournisseur,llm,True,Cabinet Dentaire Dr. Bernasconi,Cabinet Dentaire Dr. Bernasconi,llm,True,2026-04-15,,llm,False,7612.0,7612.0,llm,True,"Facture trimestrielle Helsana pour le Cabinet Dentaire Dr. Bernasconi, total 7612 CHF."
11_postfinance_releve.pdf,qwen2.5:14b-instruct-q4_K_M,classify_v2_fewshot.txt,12.19,526,False,,releve_bancaire,releve_bancaire,llm,True,Boutique Mode Délice Sàrl,Boutique Mode Délice Sàrl,llm,True,2026-04-30,,llm,False,-1846.2,,llm,False,"Relevé de compte PostFinance pour Boutique Mode Délice Sàrl, période avril 2026."
12_decompte_tva_t1.pdf,qwen2.5:14b-instruct-q4_K_M,classify_v2_fewshot.txt,13.24,439,False,,document_fiscal,document_fiscal,llm,True,SARL Étude Comptable Genevoise,SARL Étude Comptable Genevoise,llm,True,2026-04-02,2026-03-31,llm,False,11935.65,11935.65,llm,True,Décompte TVA AFC. Source = administration publique → document_fiscal.
13_quittance_cafe_simple.pdf,qwen2.5:14b-instruct-q4_K_M,classify_v2_fewshot.txt,12.04,243,False,,note_frais,note_frais,llm,True,inconnu,inconnu,rule,True,2026-04-26,2026-04-26,llm,True,17.0,17.0,llm,True,"Note de frais Café de la Gare, total 17 CHF."
14_contrat_bail_commercial.pdf,qwen2.5:14b-instruct-q4_K_M,classify_v2_fewshot.txt,13.35,644,False,,contrat,contrat,llm,True,Cabinet Avocat Vionnet & Partners,Cabinet Avocat Vionnet & Partners,llm,True,2026-05-01,2026-05-01,llm,True,4200.0,4200.0,llm,True,"Contrat de bail commercial CO art. 253. Locataire = Cabinet Vionnet, loyer mensuel 4200 CHF. Engagement réciproque = contrat."
15_avenant_mandat_honoraires.pdf,qwen2.5:14b-instruct-q4_K_M,classify_v2_fewshot.txt,13.54,463,False,,contrat,contrat,llm,True,Brasserie La Cigale Sàrl,Brasserie La Cigale Sàrl,llm,True,2026-04-18,2026-04-18,llm,True,185.0,,llm,False,"Avenant au contrat de mandat fiduciaire. Mandant = client = Brasserie La Cigale, tarif ajusté à 185 CHF/h."
16_lieferant_rechnung_de.pdf,qwen2.5:14b-instruct-q4_K_M,classify_v2_fewshot.txt,13.18,475,False,,facture_fournisseur,facture_fournisseur,llm,True,Treuhand Berner & Co AG,Treuhand Berner & Co AG,llm,True,2026-04-11,2026-04-11,llm,True,2080.0,2080.0,llm,True,"Facture Schmid Bürotechnik AG adressée à Treuhand Berner & Co AG, total 2080 CHF."
17_recu_photo_floue.pdf,qwen2.5:14b-instruct-q4_K_M,classify_v2_fewshot.txt,9.89,34,False,,note_frais,,llm,False,inconnu,,llm,False,2026-04-23,,llm,False,113.0,,llm,False,"OCR non reconnu, pas de données pertinentes extraites."
