filename,model,prompt,latency_s,ocr_chars,qr_used,error,exp_type,got_type,src_type,ok_type,exp_client,got_client,src_client,ok_client,exp_date,got_date,src_date,ok_date,exp_montant,got_montant,src_montant,ok_montant,raisonnement
01_swisscom_facture_qrbill.pdf,qwen2.5:7b-instruct-q4_K_M,classify_v2_fewshot.txt,0.00,597,True,ReadTimeout: timed out,facture_fournisseur,,,False,Restaurant Le Rivage SA,,,False,2026-04-15,,,False,145.5,,,False,
02_migros_facture_simple.pdf,qwen2.5:7b-instruct-q4_K_M,classify_v2_fewshot.txt,33.34,458,False,,facture_fournisseur,facture_fournisseur,llm,True,Cabinet Médical Dr. Martin Sàrl,,llm,False,2026-04-22,2026-04-22,llm,True,373.98,373.98,llm,True,"Facture Migros pour achats divers, total 373.98 CHF."
03_swisspost_rechnung_qrbill_de.pdf,qwen2.5:7b-instruct-q4_K_M,classify_v2_fewshot.txt,25.54,572,True,,facture_fournisseur,facture_fournisseur,llm,True,Bauunternehmung Zumstein AG,Bauunternehmung Zumstein AG,qr,True,2026-04-18,2026-04-18,llm,True,231.0,231.0,qr,True,"Facture de Die Schweizerische Post AG adressée à Bauunternehmung Zumstein AG, total 231 CHF."
04_note_frais_restaurant.pdf,qwen2.5:7b-instruct-q4_K_M,classify_v2_fewshot.txt,47.27,430,False,,note_frais,note_frais,llm,True,Études Cabinet Tanguy Lachat,Études Cabinet Tanguy Lachat,llm,True,2026-04-12,2026-04-12,llm,True,133.5,133.5,llm,True,"Note de frais du restaurant L'Auberge des Trois Vallées pour Études Cabinet Tanguy Lachat, total 133.50 CHF."
05_releve_bancaire_ubs.pdf,qwen2.5:7b-instruct-q4_K_M,classify_v2_fewshot.txt,23.57,602,False,,releve_bancaire,releve_bancaire,llm,True,SARL Étude Comptable Genevoise,,llm,False,2026-04-30,2026-04-30,llm,True,8956.82,8956.82,llm,True,"Relevé bancaire UBS pour le compte de SARL Étude Comptable Genevoise, solde final de 8'956.82 CHF."
06_facture_freelance_qrbill.pdf,qwen2.5:7b-instruct-q4_K_M,classify_v2_fewshot.txt,21.09,538,True,,facture_fournisseur,facture_fournisseur,llm,True,Cabinet Médical Dr. Martin Sàrl,Cabinet Médical Dr. Martin Sàrl,llm,True,2026-04-25,2026-04-25,llm,True,2680.0,2680.0,qr,True,"Facture Marie Dubois adressée au Cabinet Médical Dr. Martin Sàrl, total 2'680 CHF."
07_avis_taxation_canton.pdf,qwen2.5:7b-instruct-q4_K_M,classify_v2_fewshot.txt,21.79,611,False,,document_fiscal,document_fiscal,llm,True,SARL Étude Comptable Genevoise,SARL Étude Comptable Genevoise,llm,True,2026-04-10,2026-04-10,llm,True,18900.0,18900.0,llm,True,"Avis de taxation définitif pour l'année fiscale 2025, destiné à SARL Étude Comptable Genevoise."
08_sunrise_facture_qrbill.pdf,qwen2.5:7b-instruct-q4_K_M,classify_v2_fewshot.txt,19.97,454,True,,facture_fournisseur,facture_fournisseur,llm,True,Étude Notariale Roulet & Associés,Étude Notariale Roulet & Associés,llm,True,2026-04-15,,llm,False,263.9,263.9,qr,True,"Facture Sunrise UPC adressée à Étude Notariale Roulet & Associés, total 263.90 CHF."
09_romande_energie_facture.pdf,qwen2.5:7b-instruct-q4_K_M,classify_v2_fewshot.txt,21.99,513,False,,facture_fournisseur,facture_fournisseur,llm,True,Architecte Pierre Müller SA,,llm,False,2026-04-15,2026-04-15,llm,True,650.77,650.77,llm,True,"Facture d'électricité Romande Energie SA pour Architecte Pierre Müller SA, total 650.77 CHF."
10_helsana_facture_assurance.pdf,qwen2.5:7b-instruct-q4_K_M,classify_v2_fewshot.txt,19.41,428,False,,facture_fournisseur,facture_fournisseur,llm,True,Cabinet Dentaire Dr. Bernasconi,,llm,False,2026-04-15,2026-06-30,llm,False,7612.0,7612.0,llm,True,"Facture trimestrielle d'Helsana Assurances pour le Cabinet Dentaire Dr. Bernasconi, total CHF 7'612.00."
